,0
303,5.02029430398065e-09
304,5.02029430398065e-09
305,5.02029430398065e-09
306,5.02029430398065e-09
307,5.02029430398065e-09
308,5.02029430398065e-09
309,5.02029430398065e-09
310,5.02029430398065e-09
311,5.02029430398065e-09
312,5.02029430398065e-09
313,5.02029430398065e-09
314,5.02029430398065e-09
315,5.02029430398065e-09
316,5.02029430398065e-09
317,5.02029430398065e-09
318,5.02029430398065e-09
319,5.02029430398065e-09
320,5.02029430398065e-09
321,5.02029430398065e-09
322,5.02029430398065e-09
323,5.02029430398065e-09
324,5.02029430398065e-09
325,5.02029430398065e-09
326,5.02029430398065e-09
327,5.02029430398065e-09
328,5.02029430398065e-09
329,5.02029430398065e-09
330,5.02029430398065e-09
331,5.02029430398065e-09
332,5.02029430398065e-09
333,5.02029430398065e-09
334,5.02029430398065e-09
335,5.02029430398065e-09
336,5.02029430398065e-09
337,5.02029430398065e-09
338,5.02029430398065e-09
339,5.02029430398065e-09
340,5.02029430398065e-09
341,5.02029430398065e-09
342,5.02029430398065e-09
343,5.02029430398065e-09
344,5.02029430398065e-09
345,5.02029430398065e-09
346,5.02029430398065e-09
347,5.02029430398065e-09
348,5.02029430398065e-09
349,5.02029430398065e-09
350,5.02029430398065e-09
351,5.02029430398065e-09
352,5.02029430398065e-09
353,5.02029430398065e-09
354,5.02029430398065e-09
355,5.02029430398065e-09
356,5.02029430398065e-09
357,5.02029430398065e-09
358,5.02029430398065e-09
359,5.02029430398065e-09
360,5.02029430398065e-09
361,5.02029430398065e-09
362,5.02029430398065e-09
363,5.02029430398065e-09
364,5.02029430398065e-09
365,5.02029430398065e-09
366,5.02029430398065e-09
367,5.02029430398065e-09
368,5.02029430398065e-09
369,5.02029430398065e-09
370,5.02029430398065e-09
371,5.02029430398065e-09
372,5.02029430398065e-09
373,5.02029430398065e-09
374,5.02029430398065e-09
375,5.02029430398065e-09
376,5.02029430398065e-09
377,5.02029430398065e-09
378,5.02029430398065e-09
379,5.02029430398065e-09
380,5.02029430398065e-09
381,5.02029430398065e-09
382,5.02029430398065e-09
383,5.02029430398065e-09
384,5.02029430398065e-09
385,5.02029430398065e-09
386,5.02029430398065e-09
387,5.02029430398065e-09
388,5.02029430398065e-09
389,5.02029430398065e-09
390,5.02029430398065e-09
391,5.02029430398065e-09
392,5.02029430398065e-09
393,5.02029430398065e-09
394,5.02029430398065e-09
395,5.02029430398065e-09
396,5.02029430398065e-09
397,5.02029430398065e-09
398,5.02029430398065e-09
399,5.02029430398065e-09
400,5.02029430398065e-09
401,5.02029430398065e-09
402,5.02029430398065e-09
403,5.02029430398065e-09
404,5.02029430398065e-09
405,5.02029430398065e-09
406,5.02029430398065e-09
407,5.02029430398065e-09
408,5.02029430398065e-09
409,5.02029430398065e-09
410,5.02029430398065e-09
411,5.02029430398065e-09
412,5.02029430398065e-09
413,5.02029430398065e-09
414,5.02029430398065e-09
415,5.02029430398065e-09
416,5.02029430398065e-09
417,5.02029430398065e-09
418,5.02029430398065e-09
419,5.02029430398065e-09
420,5.02029430398065e-09
421,5.02029430398065e-09
422,5.02029430398065e-09
423,5.02029430398065e-09
424,5.02029430398065e-09
425,5.02029430398065e-09
426,5.02029430398065e-09
427,5.02029430398065e-09
428,5.02029430398065e-09
429,5.02029430398065e-09
430,5.02029430398065e-09
