agent_id,t_step,key,value
94,0,prob_be_infected,0.3
94,0,id,not_exposed
95,0,prob_neighbor_spread,0.4
95,0,prob_search_spread,0.4
95,0,prob_be_infected,0.4
96,0,prob_neighbor_spread,0.2
96,0,prob_search_spread,0.2
96,0,prob_be_infected,0.3
97,0,prob_neighbor_spread,0.4
97,0,prob_search_spread,0.4
97,0,prob_be_infected,0.4
98,0,prob_neighbor_spread,0.1
98,0,prob_search_spread,0.1
98,0,prob_be_infected,0.2
98,0,id,not_exposed
99,0,prob_neighbor_spread,0.4
99,0,prob_search_spread,0.4
99,0,prob_be_infected,0.4
100,0,prob_neighbor_spread,0.2
100,0,prob_search_spread,0.2
100,0,prob_be_infected,0.3
100,0,id,not_exposed
101,0,prob_neighbor_spread,0.2
101,0,prob_search_spread,0.2
101,0,prob_be_infected,0.3
101,0,id,not_exposed
102,0,prob_neighbor_spread,0.4
102,0,prob_search_spread,0.4
102,0,prob_be_infected,0.4
102,0,id,not_exposed
103,0,prob_neighbor_spread,0.1
103,0,prob_search_spread,0.1
103,0,prob_be_infected,0.2
103,0,id,not_exposed
104,0,prob_neighbor_spread,0.2
104,0,prob_search_spread,0.2
104,0,prob_be_infected,0.3
104,0,id,not_exposed
105,0,prob_neighbor_spread,0.2
105,0,prob_search_spread,0.2
105,0,prob_be_infected,0.3
106,0,prob_neighbor_spread,0.4
106,0,prob_search_spread,0.4
106,0,prob_be_infected,0.4
107,0,prob_neighbor_spread,0.1
107,0,prob_search_spread,0.1
107,0,prob_be_infected,0.2
107,0,id,not_exposed
108,0,prob_neighbor_spread,0.4
108,0,prob_search_spread,0.4
108,0,prob_be_infected,0.4
109,0,prob_neighbor_spread,0.2
109,0,prob_search_spread,0.2
109,0,prob_be_infected,0.3
110,0,prob_neighbor_spread,0.4
110,0,prob_search_spread,0.4
110,0,prob_be_infected,0.4
111,0,prob_neighbor_spread,0.4
111,0,prob_search_spread,0.4
111,0,prob_be_infected,0.4
111,0,id,not_exposed
112,0,prob_neighbor_spread,0.2
112,0,prob_search_spread,0.2
112,0,prob_be_infected,0.3
113,0,prob_neighbor_spread,0.4
113,0,prob_search_spread,0.4
113,0,prob_be_infected,0.4
113,0,id,not_exposed
114,0,prob_neighbor_spread,0.2
114,0,prob_search_spread,0.2
114,0,prob_be_infected,0.3
115,0,prob_neighbor_spread,0.2
115,0,prob_search_spread,0.2
115,0,prob_be_infected,0.3
115,0,id,not_exposed
116,0,prob_neighbor_spread,0.2
116,0,prob_search_spread,0.2
116,0,prob_be_infected,0.3
117,0,prob_neighbor_spread,0.4
117,0,prob_search_spread,0.4
117,0,prob_be_infected,0.4
117,0,id,not_exposed
118,0,prob_neighbor_spread,0.2
118,0,prob_search_spread,0.2
118,0,prob_be_infected,0.3
119,0,prob_neighbor_spread,0.2
119,0,prob_search_spread,0.2
119,0,prob_be_infected,0.3
119,0,id,not_exposed
120,0,prob_neighbor_spread,0.2
120,0,prob_search_spread,0.2
120,0,prob_be_infected,0.3
120,0,id,not_exposed
121,0,prob_neighbor_spread,0.2
121,0,prob_search_spread,0.2
121,0,prob_be_infected,0.3
121,0,id,not_exposed
122,0,prob_neighbor_spread,0.2
122,0,prob_search_spread,0.2
122,0,prob_be_infected,0.3
122,0,id,not_exposed
123,0,prob_neighbor_spread,0.4
123,0,prob_search_spread,0.4
123,0,prob_be_infected,0.4
123,0,id,not_exposed
124,0,prob_neighbor_spread,0.1
124,0,prob_search_spread,0.1
124,0,prob_be_infected,0.2
124,0,id,not_exposed
125,0,prob_neighbor_spread,0.4
125,0,prob_search_spread,0.4
125,0,prob_be_infected,0.4
126,0,prob_neighbor_spread,0.2
126,0,prob_search_spread,0.2
126,0,prob_be_infected,0.3
126,0,id,not_exposed
127,0,prob_neighbor_spread,0.2
127,0,prob_search_spread,0.2
127,0,prob_be_infected,0.3
128,0,prob_neighbor_spread,0.2
128,0,prob_search_spread,0.2
128,0,prob_be_infected,0.3
128,0,id,not_exposed
129,0,prob_neighbor_spread,0.1
129,0,prob_search_spread,0.1
129,0,prob_be_infected,0.2
129,0,id,not_exposed
130,0,prob_neighbor_spread,0.2
130,0,prob_search_spread,0.2
130,0,prob_be_infected,0.3
130,0,id,not_exposed
131,0,prob_neighbor_spread,0.4
131,0,prob_search_spread,0.4
131,0,prob_be_infected,0.4
131,0,id,not_exposed
132,0,prob_neighbor_spread,0.2
132,0,prob_search_spread,0.2
132,0,prob_be_infected,0.3
132,0,id,not_exposed
133,0,prob_neighbor_spread,0.4
133,0,prob_search_spread,0.4
133,0,prob_be_infected,0.4
133,0,id,not_exposed
134,0,prob_neighbor_spread,0.2
134,0,prob_search_spread,0.2
134,0,prob_be_infected,0.3
134,0,id,not_exposed
135,0,prob_neighbor_spread,0.2
135,0,prob_search_spread,0.2
135,0,prob_be_infected,0.3
135,0,id,not_exposed
136,0,prob_neighbor_spread,0.1
136,0,prob_search_spread,0.1
136,0,prob_be_infected,0.2
136,0,id,not_exposed
137,0,prob_neighbor_spread,0.1
137,0,prob_search_spread,0.1
137,0,prob_be_infected,0.2
137,0,id,not_exposed
138,0,prob_neighbor_spread,0.4
138,0,prob_search_spread,0.4
138,0,prob_be_infected,0.4
138,0,id,not_exposed
139,0,prob_neighbor_spread,0.1
139,0,prob_search_spread,0.1
139,0,prob_be_infected,0.2
140,0,prob_neighbor_spread,0.1
140,0,prob_search_spread,0.1
140,0,prob_be_infected,0.2
140,0,id,not_exposed
141,0,prob_neighbor_spread,0.4
141,0,prob_search_spread,0.4
141,0,prob_be_infected,0.4
142,0,prob_neighbor_spread,0.2
142,0,prob_search_spread,0.2
142,0,prob_be_infected,0.3
143,0,prob_neighbor_spread,0.1
143,0,prob_search_spread,0.1
143,0,prob_be_infected,0.2
143,0,id,not_exposed
144,0,prob_neighbor_spread,0.1
144,0,prob_search_spread,0.1
144,0,prob_be_infected,0.2
144,0,id,not_exposed
145,0,prob_neighbor_spread,0.2
145,0,prob_search_spread,0.2
145,0,prob_be_infected,0.3
145,0,id,not_exposed
146,0,prob_neighbor_spread,0.2
146,0,prob_search_spread,0.2
146,0,prob_be_infected,0.3
147,0,prob_neighbor_spread,0.1
147,0,prob_search_spread,0.1
147,0,prob_be_infected,0.2
147,0,id,not_exposed
148,0,prob_neighbor_spread,0.1
148,0,prob_search_spread,0.1
148,0,prob_be_infected,0.2
149,0,prob_neighbor_spread,0.2
149,0,prob_search_spread,0.2
149,0,prob_be_infected,0.3
150,0,prob_neighbor_spread,0.4
150,0,prob_search_spread,0.4
150,0,prob_be_infected,0.4
151,0,prob_neighbor_spread,0.2
151,0,prob_search_spread,0.2
151,0,prob_be_infected,0.3
152,0,prob_neighbor_spread,0.2
152,0,prob_search_spread,0.2
152,0,prob_be_infected,0.3
152,0,id,not_exposed
153,0,prob_neighbor_spread,0.4
153,0,prob_search_spread,0.4
153,0,prob_be_infected,0.4
153,0,id,not_exposed
154,0,prob_neighbor_spread,0.4
154,0,prob_search_spread,0.4
154,0,prob_be_infected,0.4
154,0,id,not_exposed
155,0,prob_neighbor_spread,0.2
155,0,prob_search_spread,0.2
155,0,prob_be_infected,0.3
155,0,id,not_exposed
156,0,prob_neighbor_spread,0.4
156,0,prob_search_spread,0.4
156,0,prob_be_infected,0.4
156,0,id,not_exposed
157,0,prob_neighbor_spread,0.2
157,0,prob_search_spread,0.2
157,0,prob_be_infected,0.3
157,0,id,not_exposed
158,0,prob_neighbor_spread,0.4
158,0,prob_search_spread,0.4
158,0,prob_be_infected,0.4
159,0,prob_neighbor_spread,0.2
159,0,prob_search_spread,0.2
159,0,prob_be_infected,0.3
159,0,id,not_exposed
160,0,prob_neighbor_spread,0.1
160,0,prob_search_spread,0.1
160,0,prob_be_infected,0.2
160,0,id,not_exposed
161,0,prob_neighbor_spread,0.4
161,0,prob_search_spread,0.4
161,0,prob_be_infected,0.4
161,0,id,not_exposed
162,0,prob_neighbor_spread,0.1
162,0,prob_search_spread,0.1
162,0,prob_be_infected,0.2
162,0,id,not_exposed
163,0,prob_neighbor_spread,0.2
163,0,prob_search_spread,0.2
163,0,prob_be_infected,0.3
164,0,prob_neighbor_spread,0.2
164,0,prob_search_spread,0.2
164,0,prob_be_infected,0.3
164,0,id,not_exposed
165,0,prob_neighbor_spread,0.2
165,0,prob_search_spread,0.2
165,0,prob_be_infected,0.3
165,0,id,not_exposed
166,0,prob_neighbor_spread,0.1
166,0,prob_search_spread,0.1
166,0,prob_be_infected,0.2
166,0,id,not_exposed
167,0,prob_neighbor_spread,0.2
167,0,prob_search_spread,0.2
167,0,prob_be_infected,0.3
167,0,id,not_exposed
168,0,prob_neighbor_spread,0.2
168,0,prob_search_spread,0.2
168,0,prob_be_infected,0.3
168,0,id,not_exposed
169,0,prob_neighbor_spread,0.2
169,0,prob_search_spread,0.2
169,0,prob_be_infected,0.3
169,0,id,not_exposed
170,0,prob_neighbor_spread,0.4
170,0,prob_search_spread,0.4
170,0,prob_be_infected,0.4
171,0,prob_neighbor_spread,0.4
171,0,prob_search_spread,0.4
171,0,prob_be_infected,0.4
171,0,id,not_exposed
172,0,prob_neighbor_spread,0.2
172,0,prob_search_spread,0.2
172,0,prob_be_infected,0.3
172,0,id,not_exposed
173,0,prob_neighbor_spread,0.2
173,0,prob_search_spread,0.2
173,0,prob_be_infected,0.3
173,0,id,not_exposed
174,0,prob_neighbor_spread,0.2
174,0,prob_search_spread,0.2
174,0,prob_be_infected,0.3
174,0,id,not_exposed
175,0,prob_neighbor_spread,0.4
175,0,prob_search_spread,0.4
175,0,prob_be_infected,0.4
175,0,id,not_exposed
176,0,prob_neighbor_spread,0.4
176,0,prob_search_spread,0.4
176,0,prob_be_infected,0.4
177,0,prob_neighbor_spread,0.4
177,0,prob_search_spread,0.4
177,0,prob_be_infected,0.4
177,0,id,not_exposed
178,0,prob_neighbor_spread,0.2
178,0,prob_search_spread,0.2
178,0,prob_be_infected,0.3
178,0,id,not_exposed
179,0,prob_neighbor_spread,0.2
179,0,prob_search_spread,0.2
179,0,prob_be_infected,0.3
180,0,prob_neighbor_spread,0.2
180,0,prob_search_spread,0.2
180,0,prob_be_infected,0.3
181,0,prob_neighbor_spread,0.1
181,0,prob_search_spread,0.1
181,0,prob_be_infected,0.2
181,0,id,not_exposed
182,0,prob_neighbor_spread,0.2
182,0,prob_search_spread,0.2
182,0,prob_be_infected,0.3
182,0,id,not_exposed
183,0,prob_neighbor_spread,0.2
183,0,prob_search_spread,0.2
183,0,prob_be_infected,0.3
183,0,id,not_exposed
184,0,prob_neighbor_spread,0.4
184,0,prob_search_spread,0.4
184,0,prob_be_infected,0.4
185,0,prob_neighbor_spread,0.2
185,0,prob_search_spread,0.2
185,0,prob_be_infected,0.3
185,0,id,not_exposed
186,0,prob_neighbor_spread,0.1
186,0,prob_search_spread,0.1
186,0,prob_be_infected,0.2
186,0,id,not_exposed
187,0,prob_neighbor_spread,0.4
187,0,prob_search_spread,0.4
187,0,prob_be_infected,0.4
188,0,prob_neighbor_spread,0.1
188,0,prob_search_spread,0.1
188,0,prob_be_infected,0.2
188,0,id,not_exposed
189,0,prob_neighbor_spread,0.2
189,0,prob_search_spread,0.2
189,0,prob_be_infected,0.3
190,0,prob_neighbor_spread,0.2
190,0,prob_search_spread,0.2
190,0,prob_be_infected,0.3
190,0,id,not_exposed
191,0,prob_neighbor_spread,0.1
191,0,prob_search_spread,0.1
191,0,prob_be_infected,0.2
191,0,id,not_exposed
192,0,prob_neighbor_spread,0.4
192,0,prob_search_spread,0.4
192,0,prob_be_infected,0.4
193,0,prob_neighbor_spread,0.2
193,0,prob_search_spread,0.2
193,0,prob_be_infected,0.3
193,0,id,not_exposed
194,0,prob_neighbor_spread,0.2
194,0,prob_search_spread,0.2
194,0,prob_be_infected,0.3
195,0,prob_neighbor_spread,0.2
195,0,prob_search_spread,0.2
195,0,prob_be_infected,0.3
195,0,id,not_exposed
196,0,prob_neighbor_spread,0.1
196,0,prob_search_spread,0.1
196,0,prob_be_infected,0.2
196,0,id,not_exposed
197,0,prob_neighbor_spread,0.2
197,0,prob_search_spread,0.2
197,0,prob_be_infected,0.3
197,0,id,not_exposed
198,0,prob_neighbor_spread,0.2
198,0,prob_search_spread,0.2
198,0,prob_be_infected,0.3
198,0,id,not_exposed
199,0,prob_neighbor_spread,0.2
199,0,prob_search_spread,0.2
199,0,prob_be_infected,0.3
199,0,id,not_exposed
200,0,prob_neighbor_spread,0.1
200,0,prob_search_spread,0.1
200,0,prob_be_infected,0.2
200,0,id,not_exposed
201,0,prob_neighbor_spread,0.2
201,0,prob_search_spread,0.2
201,0,prob_be_infected,0.3
201,0,id,not_exposed
202,0,prob_neighbor_spread,0.4
202,0,prob_search_spread,0.4
202,0,prob_be_infected,0.4
202,0,id,not_exposed
203,0,prob_neighbor_spread,0.4
203,0,prob_search_spread,0.4
203,0,prob_be_infected,0.4
203,0,id,not_exposed
204,0,prob_neighbor_spread,0.2
204,0,prob_search_spread,0.2
204,0,prob_be_infected,0.3
204,0,id,not_exposed
205,0,prob_neighbor_spread,0.4
205,0,prob_search_spread,0.4
205,0,prob_be_infected,0.4
205,0,id,not_exposed
206,0,prob_neighbor_spread,0.2
206,0,prob_search_spread,0.2
206,0,prob_be_infected,0.3
207,0,prob_neighbor_spread,0.2
207,0,prob_search_spread,0.2
207,0,prob_be_infected,0.3
207,0,id,not_exposed
208,0,prob_neighbor_spread,0.1
208,0,prob_search_spread,0.1
208,0,prob_be_infected,0.2
208,0,id,not_exposed
209,0,prob_neighbor_spread,0.1
209,0,prob_search_spread,0.1
209,0,prob_be_infected,0.2
209,0,id,not_exposed
210,0,prob_neighbor_spread,0.4
210,0,prob_search_spread,0.4
210,0,prob_be_infected,0.4
